videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
fz1uIWwvcjg,23,喜劇_Comedy,76133979,438856,466,16.0,2057675.108108108
aaD9f6YALHM,23,喜劇_Comedy,2923542,20237,13,18.0,94307.80645161292
BKGKg5Fk5Sw,23,喜劇_Comedy,39726642,299138,393,19.0,1045437.947368421
wHJXfTjIln8,23,喜劇_Comedy,79966222,515896,135,35.0,2423218.8484848486
eei3hwbd6B4,23,喜劇_Comedy,53354648,322486,144,24.0,1839815.448275862
XJ6FxKgSjFo,23,喜劇_Comedy,56847614,217280,125,7.0,1894920.4666666663
meVLql2IC8o,23,喜劇_Comedy,44818586,260321,141,21.0,1318193.705882353
I6pWNPJ0BVI,23,喜劇_Comedy,73378428,471795,171,27.0,1983200.7567567567
avd1cxh8COw,23,喜劇_Comedy,81105202,536648,265,24.0,2796731.103448276
wHJXfTjIln8,23,喜劇_Comedy,79966221,515892,135,35.0,2423218.8181818184
eei3hwbd6B4,23,喜劇_Comedy,53354648,322485,144,24.0,1839815.448275862
XJ6FxKgSjFo,23,喜劇_Comedy,56847614,217280,125,7.0,1894920.4666666663
meVLql2IC8o,23,喜劇_Comedy,44814697,260320,141,21.0,1318079.3235294118
avd1cxh8COw,23,喜劇_Comedy,81113834,536660,265,24.0,2797028.7586206896
XJ6FxKgSjFo,23,喜劇_Comedy,56847915,217280,125,7.0,1894930.5
I6pWNPJ0BVI,23,喜劇_Comedy,73375543,471784,171,27.0,1983122.783783784
afV4yFIKK08,23,喜劇_Comedy,32741975,275955,459,14.0,798584.756097561
UUc-7V4V2w4,23,喜劇_Comedy,32744306,264902,235,20.0,696687.3617021276
BKGKg5Fk5Sw,23,喜劇_Comedy,39726603,299138,393,19.0,1045436.9210526316
01ySRsLa8AQ,23,喜劇_Comedy,25481897,218315,216,18.0,606711.8333333334
fz1uIWwvcjg,23,喜劇_Comedy,76134020,438856,466,16.0,2057676.2162162163
I6pWNPJ0BVI,23,喜劇_Comedy,73376704,471790,171,27.0,1983154.162162162
meVLql2IC8o,23,喜劇_Comedy,44810211,260304,141,21.0,1317947.3823529412
Nc-qCDLUjKs,23,喜劇_Comedy,1580158,32442,153,58.0,58524.37037037037
wHJXfTjIln8,23,喜劇_Comedy,79946006,515817,135,35.0,2422606.242424242
meVLql2IC8o,23,喜劇_Comedy,44810211,260308,141,21.0,1317947.3823529412
eei3hwbd6B4,23,喜劇_Comedy,53352141,322475,144,24.0,1839729.0
I6pWNPJ0BVI,23,喜劇_Comedy,73377632,471793,171,27.0,1983179.2432432435
meVLql2IC8o,23,喜劇_Comedy,44814697,260316,141,21.0,1318079.3235294118
eXU5BDrkfck,23,喜劇_Comedy,9217292,152821,360,60.0,288040.375
f94uXekQy40,23,喜劇_Comedy,1639993,19345,2774,1661.0,51249.78125
BKGKg5Fk5Sw,23,喜劇_Comedy,39726642,299138,393,19.0,1045437.947368421
afV4yFIKK08,23,喜劇_Comedy,32741975,275955,459,14.0,798584.756097561
