videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
3RS6waLl9oM,24,娛樂_Entertainment,3180758,46625,2340,1460.0,72289.95454545454
PdtOgJ8Y9n8,24,娛樂_Entertainment,2673454,36847,2961,1948.0,50442.52830188679
lACc63nfn6s,24,娛樂_Entertainment,7373960,2,1,18.0,124982.37288135591
4MaPgEWdemY,24,娛樂_Entertainment,5389554,67859,388,57.0,122489.86363636365
9SQWLC1UQGY,24,娛樂_Entertainment,4521552,19170,335,13.0,83732.44444444444
igf1GDl21aA,24,娛樂_Entertainment,1556530,91962,4367,702.0,31130.6
SvgJqUiPIEw,24,娛樂_Entertainment,4529131,64589,317,19.0,100647.35555555556
6a7Nj-KK_8c,24,娛樂_Entertainment,4336598,72060,777,45.0,88502.0
RekhyCvEZ5Y,24,娛樂_Entertainment,1333915,27826,1429,938.0,31759.880952380958
xH4ZHXl7i-M,24,娛樂_Entertainment,2233232,5,0,66.0,34357.415384615386
4MaPgEWdemY,24,娛樂_Entertainment,5397433,67977,389,57.0,122668.93181818182
bOgnCvUwpl4,24,娛樂_Entertainment,2105364,15,0,75.0,35684.13559322034
_CIOkUMGjeU,24,娛樂_Entertainment,5786368,60485,2149,26.0,165324.8
Uige3WZUPrw,24,娛樂_Entertainment,5656170,41038,371,14.0,148846.57894736843
AZxtBlNBus8,24,娛樂_Entertainment,3158628,78133,325,60.0,87739.66666666667
2nZdDIv_J1Q,24,娛樂_Entertainment,3096700,7,0,16.0,67319.56521739131
RekhyCvEZ5Y,24,娛樂_Entertainment,1334280,27828,1430,938.0,31768.571428571428
pn10Ra1SQsY,24,娛樂_Entertainment,4189584,57160,955,55.0,119702.4
M0rtFSZQys0,24,娛樂_Entertainment,2161596,12116,444,200.0,50269.67441860465
RaTvDPfueAE,24,娛樂_Entertainment,4508681,68949,4388,1626.0,145441.32258064515
QDGhxndape8,24,娛樂_Entertainment,6342947,46,2,21.0,166919.65789473685
7G6NEw6V0Js,24,娛樂_Entertainment,12986456,280486,313,20.0,371041.6
EceuDleKGxA,24,娛樂_Entertainment,8927937,33214,0,9.0,270543.54545454547
0BGwYS3G1cw,24,娛樂_Entertainment,4922471,55657,532,27.0,153827.21875
Yr9348pJmfo,24,娛樂_Entertainment,4923079,58908,795,18.0,144796.4411764706
pn10Ra1SQsY,24,娛樂_Entertainment,4189749,57164,955,55.0,119707.11428571428
jpoinEw8RgQ,24,娛樂_Entertainment,3339902,52816,557,43.0,95425.77142857145
Sx4OUBx-DVQ,24,娛樂_Entertainment,4208546,53984,776,23.0,135759.5483870968
M0rtFSZQys0,24,娛樂_Entertainment,2162155,12118,444,200.0,50282.67441860465
p3mhvjD38Pw,24,娛樂_Entertainment,3740541,71051,566,56.0,128984.1724137931
ukXNQ_bIoIU,24,娛樂_Entertainment,1865517,18046,1794,6919.0,51819.91666666666
AZxtBlNBus8,24,娛樂_Entertainment,3158733,78138,325,60.0,87742.58333333333
RaTvDPfueAE,24,娛樂_Entertainment,4508681,68949,4388,1626.0,145441.32258064515
QDGhxndape8,24,娛樂_Entertainment,6342947,46,2,21.0,166919.65789473685
7G6NEw6V0Js,24,娛樂_Entertainment,12986185,280482,313,20.0,371033.8571428572
_CIOkUMGjeU,24,娛樂_Entertainment,5786494,60486,2149,26.0,165328.4
EceuDleKGxA,24,娛樂_Entertainment,8927937,33214,0,9.0,270543.54545454547
0BGwYS3G1cw,24,娛樂_Entertainment,4922471,55657,532,27.0,153827.21875
Yr9348pJmfo,24,娛樂_Entertainment,4923047,58908,795,18.0,144795.5
pn10Ra1SQsY,24,娛樂_Entertainment,4189748,57164,955,55.0,119707.08571428571
Sx4OUBx-DVQ,24,娛樂_Entertainment,4208546,53984,776,23.0,135759.5483870968
CKofaCsTO54,24,娛樂_Entertainment,4146580,36723,539,13.0,125653.9393939394
M0rtFSZQys0,24,娛樂_Entertainment,2162155,12118,444,200.0,50282.67441860465
p3mhvjD38Pw,24,娛樂_Entertainment,3740535,71052,566,56.0,128983.96551724138
AZxtBlNBus8,24,娛樂_Entertainment,3158733,78138,325,60.0,87742.58333333333
RaTvDPfueAE,24,娛樂_Entertainment,4508681,68948,4388,1626.0,145441.32258064515
QDGhxndape8,24,娛樂_Entertainment,6342946,46,2,21.0,166919.63157894736
EceuDleKGxA,24,娛樂_Entertainment,8927938,33214,0,9.0,270543.57575757575
BwbGQXKDUkQ,24,娛樂_Entertainment,8010678,108687,1333,20.0,276230.275862069
0BGwYS3G1cw,24,娛樂_Entertainment,4922471,55657,532,27.0,153827.21875
Yr9348pJmfo,24,娛樂_Entertainment,4923141,58908,795,18.0,144798.26470588235
WdEGWO5SQEw,24,娛樂_Entertainment,5821611,114204,1335,60.0,242567.125
pn10Ra1SQsY,24,娛樂_Entertainment,4189750,57164,955,55.0,119707.14285714286
X4LCP3yeJco,24,娛樂_Entertainment,5856709,31,0,88.0,177476.0303030303
p3mhvjD38Pw,24,娛樂_Entertainment,3740541,71051,566,56.0,128984.1724137931
M0rtFSZQys0,24,娛樂_Entertainment,2162155,12118,444,200.0,50282.67441860465
rFKXBTZ5D-8,24,娛樂_Entertainment,5550789,23037,230,13.0,168205.72727272726
ukXNQ_bIoIU,24,娛樂_Entertainment,1865583,18046,1794,6919.0,51821.75
i5aXL8YKFOE,24,娛樂_Entertainment,41894500,476190,1053,20.0,1074217.9487179487
lACc63nfn6s,24,娛樂_Entertainment,7373961,2,1,18.0,124982.38983050847
PdtOgJ8Y9n8,24,娛樂_Entertainment,2673948,36854,2962,1948.0,50451.84905660377
7igBkv_VFtk,24,娛樂_Entertainment,7658432,82669,299,19.0,191460.8
uyOURYRodzI,24,娛樂_Entertainment,10618508,95462,664,11.0,279434.4210526316
4MaPgEWdemY,24,娛樂_Entertainment,5397335,67974,389,57.0,122666.70454545454
9SQWLC1UQGY,24,娛樂_Entertainment,4521561,19170,335,13.0,83732.61111111111
vTMeE1uFS3A,24,娛樂_Entertainment,4913133,50613,412,19.0,106807.23913043478
SvgJqUiPIEw,24,娛樂_Entertainment,4534216,64650,317,19.0,100760.35555555556
