videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
YyI8K_Ds6pQ,1,電影與動畫_Film & Animation,130907045,1127255,3169,27.0,3272676.125
eJQb9_dBRKc,1,電影與動畫_Film & Animation,14557915,224795,1796,49.0,441148.9393939394
asAz0cIHj2k,1,電影與動畫_Film & Animation,38726270,697033,3450,27.0,1249234.5161290322
PTMrK-7jumY,1,電影與動畫_Film & Animation,1748651,36572,142,56.0,54645.34375
yLQIGqrbXNU,1,電影與動畫_Film & Animation,6395647,99696,5364,46.0,199863.96875
asAz0cIHj2k,1,電影與動畫_Film & Animation,38728789,697049,3450,27.0,1249315.7741935484
asAz0cIHj2k,1,電影與動畫_Film & Animation,38728781,697048,3450,27.0,1249315.5161290322
1mRLtVI1WCY,1,電影與動畫_Film & Animation,6408119,104920,2272,58.0,188474.08823529413
eJQb9_dBRKc,1,電影與動畫_Film & Animation,14557200,224792,1796,49.0,441127.2727272727
xOEAeh6tDEI,1,電影與動畫_Film & Animation,21098624,198559,1333,42.0,540990.358974359
i1CZ6CdAVh4,1,電影與動畫_Film & Animation,4981031,78152,210,54.0,184482.62962962964
asAz0cIHj2k,1,電影與動畫_Film & Animation,38728742,697047,3450,27.0,1249314.258064516
uk3Lsxw4oX4,1,電影與動畫_Film & Animation,901159,21301,129,35.0,37548.29166666666
YyI8K_Ds6pQ,1,電影與動畫_Film & Animation,131074999,1128207,3175,27.0,3276874.975
asAz0cIHj2k,1,電影與動畫_Film & Animation,38726268,697032,3450,27.0,1249234.4516129033
