videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
cWMoMeXuyDM,25,新聞與政治_News & Politics,325350,8466,781,816.0,10495.16129032258
C-NLr6U6-RY,25,新聞與政治_News & Politics,355574,5724,440,893.0,11470.129032258064
6_r6ZEqNttE,25,新聞與政治_News & Politics,3831159,0,0,39.0,100819.97368421052
GjTkqaXMYAc,25,新聞與政治_News & Politics,430733,3464,923,2122.0,16566.653846153848
H2cUaJBt4cI,25,新聞與政治_News & Politics,341058,3400,719,1652.0,13117.615384615385
XWX_Hps55pc,25,新聞與政治_News & Politics,289414,5093,153,2892.0,11131.307692307691
fOT5TCIBjNc,25,新聞與政治_News & Politics,276802,2647,10,29509.0,11072.08
C7Sm6zUZDt8,25,新聞與政治_News & Politics,206269,13358,130,7286.0,7933.423076923077
TVAIibKvyrM,25,新聞與政治_News & Politics,467451,8421,727,1090.0,17978.884615384617
BPvnsXOfr1M,25,新聞與政治_News & Politics,164084,13405,192,7291.0,6310.923076923077
SsrQuTUko2Y,25,新聞與政治_News & Politics,155740,2910,97,7598.0,5990.0
irOK4skRKXU,25,新聞與政治_News & Politics,467050,6487,73,56.0,17298.14814814815
Ou_ekTz52H8,25,新聞與政治_News & Politics,753625,6072,220,54.0,27912.03703703704
PmqDWnavkaY,25,新聞與政治_News & Politics,1097183,21904,786,29.0,34286.96875
BPAmLn0b8QQ,25,新聞與政治_News & Politics,259105,3453,467,4421.0,8358.225806451614
82cJyQ0H_RQ,25,新聞與政治_News & Politics,200786,8963,265,1307.0,6476.967741935484
hzudyxNeIcA,25,新聞與政治_News & Politics,156605,10602,88,7231.0,5051.774193548387
A-cB7Co-e34,25,新聞與政治_News & Politics,226833,13596,150,7241.0,7317.193548387097
