videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
KpXGLtPFCx4,22,部落格與人物_People & Blogs,136777680,1250343,599,59.0,2735553.6
GRhOiA7b3WM,22,部落格與人物_People & Blogs,110786399,1055731,408,60.0,2408399.9782608696
ZeUEEbhXTXA,22,部落格與人物_People & Blogs,45290040,622223,339,50.0,984566.0869565216
WIvYETX0hBk,22,部落格與人物_People & Blogs,77514684,499244,610,15.0,1937867.1
oyZ7DFeXwr4,22,部落格與人物_People & Blogs,44311580,572904,250,60.0,1055037.619047619
WIvYETX0hBk,22,部落格與人物_People & Blogs,77543018,499427,610,15.0,1938575.45
8yj9PQdvgZM,22,部落格與人物_People & Blogs,64524881,358183,94,22.0,1792357.8055555555
rOoctZdvyro,22,部落格與人物_People & Blogs,47806132,299842,383,21.0,1770597.4814814816
udHci_wDyJU,22,部落格與人物_People & Blogs,34650933,160816,36,13.0,1082841.65625
r9AvuWfA0YU,22,部落格與人物_People & Blogs,48604730,983636,595,47.0,1869412.6923076925
Ue2oZrVNFXU,22,部落格與人物_People & Blogs,35337446,185816,73,21.0,1104295.1875
rK5gw382qmU,22,部落格與人物_People & Blogs,41204579,250639,102,23.0,1420847.551724138
j6pQK4r05D0,22,部落格與人物_People & Blogs,23770746,141767,0,34.0,819680.8965517242
Ue2oZrVNFXU,22,部落格與人物_People & Blogs,35337446,185816,73,21.0,1104295.1875
r9AvuWfA0YU,22,部落格與人物_People & Blogs,48604730,983626,595,47.0,1869412.6923076925
rK5gw382qmU,22,部落格與人物_People & Blogs,41204579,250638,102,23.0,1420847.551724138
LXyxrzSYj1c,22,部落格與人物_People & Blogs,25232229,249190,47,60.0,700895.25
j6pQK4r05D0,22,部落格與人物_People & Blogs,23770746,141767,0,34.0,819680.8965517242
RuWSl33noHU,22,部落格與人物_People & Blogs,24742015,161392,70,20.0,853172.9310344828
rOoctZdvyro,22,部落格與人物_People & Blogs,47806132,299842,383,21.0,1770597.4814814816
r9AvuWfA0YU,22,部落格與人物_People & Blogs,48604730,983658,595,47.0,1869412.6923076925
rK5gw382qmU,22,部落格與人物_People & Blogs,41204579,250644,102,23.0,1420847.551724138
oyZ7DFeXwr4,22,部落格與人物_People & Blogs,44349908,573605,250,60.0,1055950.1904761903
Ue2oZrVNFXU,22,部落格與人物_People & Blogs,35337111,185815,73,21.0,1104284.71875
PSpQgWMkpR8,22,部落格與人物_People & Blogs,801204,5546,4726,1846.0,30815.53846153846
GYg6J8aD68c,22,部落格與人物_People & Blogs,665296,6914,202,1217.0,25588.30769230769
Ue2oZrVNFXU,22,部落格與人物_People & Blogs,35337114,185815,73,21.0,1104284.8125
LXyxrzSYj1c,22,部落格與人物_People & Blogs,25232103,249188,47,60.0,700891.75
Zzb2cesvOaU,22,部落格與人物_People & Blogs,743196,11954,1209,2633.0,30966.5
rOoctZdvyro,22,部落格與人物_People & Blogs,47806132,299842,383,21.0,1770597.4814814816
r9AvuWfA0YU,22,部落格與人物_People & Blogs,48610614,983664,595,47.0,1869639.0
rK5gw382qmU,22,部落格與人物_People & Blogs,41204579,250645,102,23.0,1420847.551724138
Y5CqmMTpul0,22,部落格與人物_People & Blogs,83273331,2107476,5117,123.0,2871494.172413793
ZV4pYDma8yk,22,部落格與人物_People & Blogs,36899362,202431,100,27.0,1419206.2307692308
Ue2oZrVNFXU,22,部落格與人物_People & Blogs,35337436,185816,73,21.0,1104294.875
CFWsb1qKkYI,22,部落格與人物_People & Blogs,30060474,188194,75,20.0,858870.6857142857
LXyxrzSYj1c,22,部落格與人物_People & Blogs,25232214,249188,47,60.0,700894.8333333334
r9AvuWfA0YU,22,部落格與人物_People & Blogs,48604519,983603,595,47.0,1869404.576923077
j6pQK4r05D0,22,部落格與人物_People & Blogs,23770746,141767,0,34.0,819680.8965517242
rK5gw382qmU,22,部落格與人物_People & Blogs,41204569,250636,102,23.0,1420847.2068965517
oyZ7DFeXwr4,22,部落格與人物_People & Blogs,44349908,573611,250,60.0,1055950.1904761903
B8SuAVYJ1LY,22,部落格與人物_People & Blogs,1917331,42446,608,43.0,59916.59375
OKYt2IFTtBA,22,部落格與人物_People & Blogs,945809,16886,108,44.0,29556.53125
