videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
MncKz3Tz_GM,15,寵物與動物_Pets & Animals,108350414,752591,182,31.0,2355443.782608696
5YuJ_FiesMs,15,寵物與動物_Pets & Animals,588340,27809,1515,944.0,15901.081081081082
LVBEKf8qWz0,15,寵物與動物_Pets & Animals,38534898,620382,871,21.0,786426.4897959183
u0dk_uA8V-I,15,寵物與動物_Pets & Animals,51422066,230009,60,16.0,1224334.9047619049
_FGQpNkOR_o,15,寵物與動物_Pets & Animals,66358950,280097,206,12.0,1354264.2857142857
pTVxUSXq8lg,15,寵物與動物_Pets & Animals,6202903,28419,6,12.0,193840.71875
LVBEKf8qWz0,15,寵物與動物_Pets & Animals,38560003,620863,871,21.0,786938.8367346938
AuBOjP93vwU,15,寵物與動物_Pets & Animals,732718,21024,353,60.0,23636.064516129038
SkirlRS0eHk,15,寵物與動物_Pets & Animals,8161678,41091,8,19.0,263279.93548387097
uomQDqOHe_I,15,寵物與動物_Pets & Animals,26223722,443316,3596,47.0,655593.05
EvTGDA7bheQ,15,寵物與動物_Pets & Animals,58476387,261433,80,11.0,1719893.7352941176
q1GQNtKwo64,15,寵物與動物_Pets & Animals,62783266,253480,210,9.0,1793807.6
uomQDqOHe_I,15,寵物與動物_Pets & Animals,26225205,443321,3596,47.0,655630.125
yvupdfzoOqE,15,寵物與動物_Pets & Animals,44705238,289649,165,25.0,1397038.6875
LVBEKf8qWz0,15,寵物與動物_Pets & Animals,38562992,620908,871,21.0,786999.8367346938
EvTGDA7bheQ,15,寵物與動物_Pets & Animals,58475267,261433,80,11.0,1719860.794117647
q1GQNtKwo64,15,寵物與動物_Pets & Animals,62781811,253480,210,9.0,1793766.0285714285
pfNrOnmlJYw,15,寵物與動物_Pets & Animals,40501486,198538,28,16.0,1125041.2777777778
u0dk_uA8V-I,15,寵物與動物_Pets & Animals,51425869,230018,60,16.0,1224425.4523809524
RhKwxCtMXF4,15,寵物與動物_Pets & Animals,139576290,696203,718,13.0,3404299.7560975607
l1rCrziqxuY,15,寵物與動物_Pets & Animals,68390007,340178,136,12.0,1519777.933333333
arLctpvW6bQ,15,寵物與動物_Pets & Animals,497271,0,717,114.0,19125.80769230769
icVQRjGOPXk,15,寵物與動物_Pets & Animals,1354558,4548,3,4.0,52098.38461538462
q1GQNtKwo64,15,寵物與動物_Pets & Animals,62777782,253475,210,9.0,1793650.9142857145
pfNrOnmlJYw,15,寵物與動物_Pets & Animals,40498239,198521,28,16.0,1124951.0833333333
EvTGDA7bheQ,15,寵物與動物_Pets & Animals,58471163,261424,80,11.0,1719740.0882352942
uomQDqOHe_I,15,寵物與動物_Pets & Animals,26224572,443319,3596,47.0,655614.3
WCo5I9dWgDE,15,寵物與動物_Pets & Animals,4894856,90258,501,13.0,188263.6923076923
LVBEKf8qWz0,15,寵物與動物_Pets & Animals,38560807,620891,871,21.0,786955.2448979592
wWrlsw1fQSc,15,寵物與動物_Pets & Animals,229062,10988,163,970.0,9162.48
g21V8guN_cw,15,寵物與動物_Pets & Animals,285885,8310,312,3345.0,11911.875
LWSNWNzNKcI,15,寵物與動物_Pets & Animals,140083,7441,404,687.0,5387.807692307692
fUg-YduxEPE,15,寵物與動物_Pets & Animals,340798,13174,243,31.0,13631.92
kXSqGgVeVT0,15,寵物與動物_Pets & Animals,103493,3296,184,547.0,4139.72
vHeNk1H7ZyM,15,寵物與動物_Pets & Animals,618259,10767,173,72.0,23779.19230769231
uomQDqOHe_I,15,寵物與動物_Pets & Animals,26224572,443318,3596,47.0,655614.3
6ugIIERolxc,15,寵物與動物_Pets & Animals,62584482,413078,97,31.0,2721064.434782609
q1GQNtKwo64,15,寵物與動物_Pets & Animals,62783425,253484,210,9.0,1793812.142857143
yvupdfzoOqE,15,寵物與動物_Pets & Animals,44709912,289661,165,25.0,1397184.75
LVBEKf8qWz0,15,寵物與動物_Pets & Animals,38561869,620900,871,21.0,786976.918367347
q1GQNtKwo64,15,寵物與動物_Pets & Animals,62781330,253477,210,9.0,1793752.2857142857
EvTGDA7bheQ,15,寵物與動物_Pets & Animals,58475267,261428,80,11.0,1719860.794117647
pfNrOnmlJYw,15,寵物與動物_Pets & Animals,40501485,198534,28,16.0,1125041.25
uomQDqOHe_I,15,寵物與動物_Pets & Animals,26225196,443321,3596,47.0,655629.9
bNeh1uXwIoY,15,寵物與動物_Pets & Animals,3744863,27225,165,26.0,113480.69696969698
u0dk_uA8V-I,15,寵物與動物_Pets & Animals,51425873,230019,60,16.0,1224425.5476190476
RhKwxCtMXF4,15,寵物與動物_Pets & Animals,139576290,696215,718,13.0,3404299.7560975607
Jm3e61_1o3M,15,寵物與動物_Pets & Animals,1676734,27227,507,17.0,52397.9375
MtQFUF_LvAc,15,寵物與動物_Pets & Animals,839067,0,166,45.0,26220.84375
4ZXLtrbb2Pg,15,寵物與動物_Pets & Animals,207549,2545,148,1320.0,6485.90625
_i1_0hLyj9M,15,寵物與動物_Pets & Animals,167879,3023,391,643.0,5246.21875
rOrIui876RU,15,寵物與動物_Pets & Animals,643212,8143,247,67.0,20100.375
AXMSoC8_gEs,15,寵物與動物_Pets & Animals,308695,11650,170,56.0,9646.71875
