videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
I_iq2BWD1sk,28,自然與科技_Science & Technology,1420193,7268,197,17.0,37373.5
n-q0kz9u5bc,28,自然與科技_Science & Technology,4075757,79124,2387,58.0,110155.5945945946
wTCC50Z4qdQ,28,自然與科技_Science & Technology,24370690,440,64,21.0,386836.3492063492
ozSO_VzvHzc,28,自然與科技_Science & Technology,1387415,17209,282,58.0,43356.71875
4v3MTstzdkw,28,自然與科技_Science & Technology,21843633,249315,374,29.0,661928.2727272727
4v3MTstzdkw,28,自然與科技_Science & Technology,21843632,249315,374,29.0,661928.2424242424
jQeirPWE9H4,28,自然與科技_Science & Technology,9605613,116493,496,17.0,266822.5833333333
4v3MTstzdkw,28,自然與科技_Science & Technology,21841877,249311,374,29.0,661875.0606060605
1nP45TNIIKM,28,自然與科技_Science & Technology,61590283,37008,0,1663.0,2799558.3181818184
4v3MTstzdkw,28,自然與科技_Science & Technology,21843593,249315,374,29.0,661927.0606060605
