videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
UoxhuV59PcA,17,運動_Sports,29399333,225233,3772,29.0,1130743.576923077
UoxhuV59PcA,17,運動_Sports,29400606,225237,3772,29.0,1130792.5384615385
HLUIfWDXSDY,17,運動_Sports,1166792,12140,511,54.0,43214.51851851852
k3HcpyBSbEI,17,運動_Sports,1387027,11581,548,59.0,51371.37037037037
7bZLAthbLvk,17,運動_Sports,581399,3319,10,12045.0,23255.96
MP8y2ywznXk,17,運動_Sports,813792,4848,239,41.0,30140.444444444445
EXb-2u03k90,17,運動_Sports,2109158,18147,1199,30.0,81121.46153846153
oE8evG3SU_Q,17,運動_Sports,287057,3536,451,562.0,11040.653846153846
UoxhuV59PcA,17,運動_Sports,29400606,225239,3772,29.0,1130792.5384615385
r6_1FC6XqOE,17,運動_Sports,25183693,140076,202,16.0,786990.40625
