videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
q16e36bML7E,26,生活風格與教學_Howto & Style,24937966,46,0,16.0,656262.2631578947
q16e36bML7E,26,生活風格與教學_Howto & Style,24937996,46,0,16.0,656263.052631579
tarr7JEglxA,26,生活風格與教學_Howto & Style,341105,5781,141,898.0,11003.387096774191
q16e36bML7E,26,生活風格與教學_Howto & Style,24938001,46,0,16.0,656263.1842105263
q16e36bML7E,26,生活風格與教學_Howto & Style,24937996,46,0,16.0,656263.052631579
akR_QQcVEMc,26,生活風格與教學_Howto & Style,1393352,10202,80,61.0,51605.62962962963
XGZzpH3Az1Y,26,生活風格與教學_Howto & Style,716571,12301,904,1068.0,27560.42307692308
431gbqFGeOw,26,生活風格與教學_Howto & Style,1411890,13085,444,6.0,54303.46153846154
GkLk1davceI,26,生活風格與教學_Howto & Style,516285,17897,847,231.0,19857.115384615383
me-DIX_Zpbk,26,生活風格與教學_Howto & Style,456483,5845,193,2110.0,17557.03846153846
q16e36bML7E,26,生活風格與教學_Howto & Style,24937996,46,0,16.0,656263.052631579
IQhWOXc7TVc,26,生活風格與教學_Howto & Style,355718,12536,3049,633.0,14228.72
q16e36bML7E,26,生活風格與教學_Howto & Style,24937996,46,0,16.0,656263.052631579
b1irRMa0lPM,26,生活風格與教學_Howto & Style,271984,4574,843,883.0,11332.666666666666
fHDxk2xdoBM,26,生活風格與教學_Howto & Style,933144,14410,696,1445.0,29160.75
UbXrA_TvMZw,26,生活風格與教學_Howto & Style,2073383,42658,205,60.0,64793.21875
