videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
9oNkS30MzHI,2,汽車與車輛_Autos & Vehicles,27687924,62,0,31.0,485753.0526315789
FGuSIb97h48,2,汽車與車輛_Autos & Vehicles,269751,5766,676,1745.0,8701.645161290322
GfhJnGlE8BE,2,汽車與車輛_Autos & Vehicles,623832,6545,318,40.0,20123.612903225807
9in1caHZhFE,2,汽車與車輛_Autos & Vehicles,373185,5490,983,32.0,12439.5
FYBSJB6WMec,2,汽車與車輛_Autos & Vehicles,10516890,96,8,68.0,269663.8461538461
pO9UAxN2I8g,2,汽車與車輛_Autos & Vehicles,4923484,1227,0,16.0,114499.62790697676
mGonk6Ek3cE,2,汽車與車輛_Autos & Vehicles,4397419,1654,0,16.0,102265.55813953489
FYBSJB6WMec,2,汽車與車輛_Autos & Vehicles,10516890,96,8,68.0,269663.8461538461
pO9UAxN2I8g,2,汽車與車輛_Autos & Vehicles,4923484,1227,0,16.0,114499.62790697676
mGonk6Ek3cE,2,汽車與車輛_Autos & Vehicles,4397419,1654,0,16.0,102265.55813953489
FYBSJB6WMec,2,汽車與車輛_Autos & Vehicles,10516891,96,8,68.0,269663.8717948718
pO9UAxN2I8g,2,汽車與車輛_Autos & Vehicles,4923469,1227,0,16.0,114499.27906976744
9oNkS30MzHI,2,汽車與車輛_Autos & Vehicles,27782025,63,0,31.0,479000.4310344828
bo8NDvnfnJY,2,汽車與車輛_Autos & Vehicles,555498,7228,670,634.0,21365.30769230769
FbftprzW4Fg,2,汽車與車輛_Autos & Vehicles,120845,3124,160,158.0,4647.884615384615
1p2q2z3Xpm4,2,汽車與車輛_Autos & Vehicles,148355,2356,716,1250.0,5705.961538461538
6Gsxw1nNW-w,2,汽車與車輛_Autos & Vehicles,1767216,20481,308,146.0,70688.64
VqpdQu4FfxA,2,汽車與車輛_Autos & Vehicles,2576211,0,0,16.0,107342.125
o1DjR_nh6kA,2,汽車與車輛_Autos & Vehicles,247551,2768,140,938.0,9902.04
gm9_hWSpqxw,2,汽車與車輛_Autos & Vehicles,741455,4637,507,21.0,29658.2
Jx02U-533I0,2,汽車與車輛_Autos & Vehicles,487004,2979,91,55.0,18730.92307692308
5mqNfbzH0Yg,2,汽車與車輛_Autos & Vehicles,496287,2729,49,88.0,19851.48
4Fs2f4Jbuyg,2,汽車與車輛_Autos & Vehicles,105590,2038,532,782.0,4223.6
PtECl-Vr3vI,2,汽車與車輛_Autos & Vehicles,127802,1545,94,1514.0,5112.08
FYBSJB6WMec,2,汽車與車輛_Autos & Vehicles,10516890,96,8,68.0,269663.8461538461
pO9UAxN2I8g,2,汽車與車輛_Autos & Vehicles,4923484,1227,0,16.0,114499.62790697676
mGonk6Ek3cE,2,汽車與車輛_Autos & Vehicles,4397419,1654,0,16.0,102265.55813953489
pO9UAxN2I8g,2,汽車與車輛_Autos & Vehicles,4923418,1227,0,16.0,114498.09302325582
9oNkS30MzHI,2,汽車與車輛_Autos & Vehicles,27785205,63,0,31.0,479055.2586206897
czt_OmTh8cg,2,汽車與車輛_Autos & Vehicles,15777915,0,0,16.0,276805.5263157895
