videoId,categoryId,categoryName,觀看數,按讚數,留言數,影片長度(秒),每天觀看數
i1CZ6CdAVh4,1,電影與動畫_Film & Animation,4981031,78152,210,54.0,184482.62962962964
6Gsxw1nNW-w,2,汽車與車輛_Autos & Vehicles,1767216,20481,308,146.0,70688.64
VqpdQu4FfxA,2,汽車與車輛_Autos & Vehicles,2576211,0,0,16.0,107342.125
o1DjR_nh6kA,2,汽車與車輛_Autos & Vehicles,247551,2768,140,938.0,9902.04
gm9_hWSpqxw,2,汽車與車輛_Autos & Vehicles,741455,4637,507,21.0,29658.2
Jx02U-533I0,2,汽車與車輛_Autos & Vehicles,487004,2979,91,55.0,18730.923076923078
5mqNfbzH0Yg,2,汽車與車輛_Autos & Vehicles,496287,2729,49,88.0,19851.48
4Fs2f4Jbuyg,2,汽車與車輛_Autos & Vehicles,105590,2038,532,782.0,4223.6
PtECl-Vr3vI,2,汽車與車輛_Autos & Vehicles,127802,1545,94,1514.0,5112.08
hXgC7L9sKBY,10,音樂_Music,39539336,205116,315,17.0,1129695.3142857142
WCo5I9dWgDE,15,寵物與動物_Pets & Animals,4894856,90258,501,13.0,188263.6923076923
LVBEKf8qWz0,15,寵物與動物_Pets & Animals,38560807,620891,871,21.0,786955.2448979592
wWrlsw1fQSc,15,寵物與動物_Pets & Animals,229062,10988,163,970.0,9162.48
g21V8guN_cw,15,寵物與動物_Pets & Animals,285885,8310,312,3345.0,11911.875
LWSNWNzNKcI,15,寵物與動物_Pets & Animals,140083,7441,404,687.0,5387.807692307692
fUg-YduxEPE,15,寵物與動物_Pets & Animals,340798,13174,243,31.0,13631.92
kXSqGgVeVT0,15,寵物與動物_Pets & Animals,103493,3296,184,547.0,4139.72
vHeNk1H7ZyM,15,寵物與動物_Pets & Animals,618259,10767,173,72.0,23779.19230769231
uomQDqOHe_I,15,寵物與動物_Pets & Animals,26224572,443318,3596,47.0,655614.3
Ue2oZrVNFXU,22,部落格與人物_People & Blogs,35337114,185815,73,21.0,1104284.8125
LXyxrzSYj1c,22,部落格與人物_People & Blogs,25232103,249188,47,60.0,700891.75
Zzb2cesvOaU,22,部落格與人物_People & Blogs,743196,11954,1209,2633.0,30966.5
wHJXfTjIln8,23,喜劇_Comedy,79946006,515817,135,35.0,2422606.242424242
meVLql2IC8o,23,喜劇_Comedy,44810211,260308,141,21.0,1317947.3823529412
eei3hwbd6B4,23,喜劇_Comedy,53352141,322475,144,24.0,1839729.0
mZMyq4SUM_A,24,娛樂_Entertainment,7580954,23897,90,9.0,194383.4358974359
XNBASHoqMas,24,娛樂_Entertainment,6884053,103504,1784,19.0,202472.14705882352
7G6NEw6V0Js,24,娛樂_Entertainment,12984362,280462,313,20.0,370981.77142857143
_CIOkUMGjeU,24,娛樂_Entertainment,5786446,60485,2149,26.0,165327.0285714286
jpoinEw8RgQ,24,娛樂_Entertainment,3339880,52815,557,43.0,95425.14285714286
CKofaCsTO54,24,娛樂_Entertainment,4146395,36724,539,13.0,125648.33333333333
Sx4OUBx-DVQ,24,娛樂_Entertainment,4208484,53984,776,23.0,135757.5483870968
M0rtFSZQys0,24,娛樂_Entertainment,2161703,12117,444,200.0,50272.16279069767
AZxtBlNBus8,24,娛樂_Entertainment,3158678,78136,325,60.0,87741.05555555556
jtRU5ZhFdyc,24,娛樂_Entertainment,1540314,26033,2071,2096.0,35821.25581395349
ukXNQ_bIoIU,24,娛樂_Entertainment,1865408,18044,1794,6919.0,51816.88888888889
cfe_de9GxbM,24,娛樂_Entertainment,3408322,18369,325,19.0,100244.76470588235
Cgp1q0QpYlg,24,娛樂_Entertainment,2188949,35209,382,60.0,87557.96
irOK4skRKXU,25,新聞與政治_News & Politics,467050,6487,73,56.0,17298.14814814815
Ou_ekTz52H8,25,新聞與政治_News & Politics,753625,6072,220,54.0,27912.037037037036
q16e36bML7E,26,生活風格與教學_Howto & Style,24937996,46,0,16.0,656263.052631579
IQhWOXc7TVc,26,生活風格與教學_Howto & Style,355718,12536,3049,633.0,14228.72
